,Program.Initiative,Year,Title,Artist,Partner,Site.Location,Borough,Site.Type,Project.Type,Installation,Install.Month,Install.Day,Install.Year,Removal,Removal.Month,Removal.Day,Removal.Year,Latitude,Longitude,Length.Days
1,Arterventions,2013,Monkey Magic,Tang-Wei Hsu,ISCP,W 36th St. & 9th Ave.,Manhattan,Sidewalk,Sculpture,7/22/2013,7,22,2013,6/22/2014,6,22,2014,40.754713,-73.995374,335
2,Barrier Beautification,2020,Chromatic Rings,Otra Ciudad,DOT Bikes,Franklin Street between Quay Street and 14th Street,Brooklyn,Barrier,Mural,10/23/2020,10,23,2020,10/23/2021,10,23,2021,NA,NA,365
3,Arterventions,2020,Sonic Constellation,Camila Morales and Dominka Ksel,Rockaway Waterfront Alliance d/b/a RISE: Rockaway Initiative for Sustainability & Equity,Rockaway Freeway between Beach 60th Street and Beach 61st Street,Queens,Asphalt,Sculpture,10/17/2020,10,17,2020,9/17/2021,9,17,2021,NA,NA,335
4,Arterventions,2020,Rockaway Wellness Corridor: Walk this Way,Jeff Beler,Rockaway Waterfront Alliance d/b/a RISE: Rockaway Initiative for Sustainability & Equity,Rockaway Freeway between Beach 59th Street and Beach 62nd Street,Queens,Pedestrianized Asphalt Space,Asphalt Mural,10/4/2020,10,4,2020,9/4/2021,9,4,2021,NA,NA,335
5,Arterventions,2020,Migration,Madjeen Isaac,Haiti Cultural Exchange,Caton Avenue between Ocean Avenue and St. Paul’s Place,Brooklyn,Corrugated fence,Mural,9/8/2020,9,8,2020,8/8/2021,8,8,2021,NA,NA,334
6,Arterventions,2020,Concrete Connection,Richard Chance,Interboro Partners LLC and Department of Health and Mental Hygiene,Westchester Avenue and Sheridan Expressway,Bronx,Corrugated fence,Vinyl Panels,10/12/2020,10,12,2020,9/12/2021,9,12,2021,NA,NA,335
7,Arterventions,2020,Doggy Bags,Will Kurtz,Garment District Alliance,"Garment District Plazas, Broadway, 37th-38th, 38th-39th, 40th-41st Streets",Manhattan,Plaza,Sculpture,9/13/2020,9,13,2020,11/22/2020,11,22,2020,NA,NA,70
8,Art Display Case,2020,Global Climate sHeroes,Bolanle Adeboye,Human Impacts Institute,Water Street between Wall Street and Pearl Street and Gouverneur Lane between Water Street and Front Street,Manhattan,Sidewalk,Art Display Cases,3/1/2020,3,1,2020,2/1/2021,2,1,2021,NA,NA,337
9,Barrier Beautification,2019,Strong/Soft like a Cliffrose,Cat Willett,DOT School Safety,7th Avenue SB from 67th Street to 75th Street,Brooklyn,Barrier,Mural,10/23/2019,10,23,2019,9/23/2020,9,23,2020,NA,NA,336
10,Arterventions,2019,In/With Chelsea,"Lizania Cruz, Shannon Finnegan, Alicia Grullon, Betty Yu",Friends of the High Line,Street Light Poles,Manhattan,Street Light Pole,Signage,10/2/2019,10,2,2019,4/2/2020,4,2,2020,NA,NA,183
11,Arterventions,2019,Street Cathedral,Claudia Ravaschiere and Michael Moss,Hudson Square BID,Varick Street Between Clarkson Street and Canal Street,Manhattan,Street Light Pole,Sculpture,11/9/2019,11,9,2019,5/9/2020,5,9,2020,NA,NA,182
12,Arterventions,2019,Ziggy,Hou de Sousa,Flatiron/23rd Street Partnership,"Flatiron Plaza North, 23rd Street and Broadway",Manhattan,Plaza,Sculpture,11/15/2019,11,15,2019,1/2/2020,1,2,2020,NA,NA,48
13,Arterventions,2019,Light Year 2019,Various Artists,DUMBO BID,Manhattan Bridge Anchorage,Brooklyn,Bridge,Projection,1/1/2019,1,1,2019,12/1/2020,12,1,2020,NA,NA,700
14,Arterventions,2019,Humanimals,Marthalicia Matarrita,The Point,Hunts Point Avenue Metro North Overpass,Bronx,Bridge,Painted Panels,12/13/2019,12,13,2019,11/13/2020,11,13,2020,NA,NA,336
15,Arterventions,2019,On the Way to the Sea,Simone Couto & Ian Swanson,International Studio & Curatorial Programm,Newkirk Plaza,Brooklyn,Bridge,Mural,10/26/2019,10,26,2019,9/26/2020,9,26,2020,NA,NA,336
